merchant,category,job,age,state,city,amount
"Yost, Schamberger and Windle",kids_pets,"Surveyor, minerals",36,UT,Thompson,98.73
"Lubowitz, Terry and Stracke",personal_care,Water engineer,48,CO,Littleton,44.41
Barton Inc,grocery_pos,Physiotherapist,56,HI,Honokaa,83.89
"Hoppe, Harris and Bedn",entertainment,Naval architect,56,NM,High Rolls Mountain Park,128.78
"Lind, Huel and McClure",gas_transport,"Radiographer, diagnostic",61,MO,Syracuse,98.06
Deckow-O'Conne,grocery_pos,Cytogeneticist,69,MO,Browning,147.01
"Altenwerth, Cartwright and Koss",shopping_net,Planning and development surveyor,41,OR,Lake Oswego,107.58
Heaney-Marquardt,entertainment,Economist,29,OR,Jordan Valley,88.75
Hamill-D'Amore,health_fitness,Intelligence analyst,52,ID,Meridian,39.72
"Schumm, Bauch and Ondrick",grocery_pos,Early years teacher,50,CA,Helm,98.01
Koelpin and Sons,misc_net,"Engineer, communications",22,MO,Ballwin,4.32
"Crist, Jakubowski and Littel",home,Architect,70,MO,Mound City,97.18
Kilback LLC,grocery_pos,Telecommunications researcher,73,NE,Holstein,109.96
Jast-McDermott,shopping_pos,"Therapist, occupational",72,CA,Carlotta,4.99
Goyette Inc,shopping_net,"Engineer, agricultural",43,MO,Kissee Mills,99.8
Reilly LLC,home,Planning and development surveyor,41,OR,Lake Oswego,133.77
Heller-Langosh,gas_transport,"Surveyor, land/geomatics",35,NM,Red River,99.28
Bahringer-Streich,food_dining,Product designer,88,NE,Westerville,144.36
Huels-Nolan,gas_transport,Firefighter,50,CA,Norwalk,63.58
"Zemlak, Tillman and Cremin",personal_care,Water engineer,48,CO,Littleton,53.71
Heaney-Marquardt,entertainment,"Designer, exhibition/display",51,CA,Sun City,145.08
Barrows PLC,shopping_pos,"Engineer, electronics",56,CO,Broomfield,8.81
"O'Connell, Botsford and Han",home,"Editor, magazine features",28,CA,Hawthorne,65.12
Dietrich-Fadel,health_fitness,Advertising account planner,41,CA,Glendale,42.84
Waters-Cruickshank,health_fitness,Electronics engineer,34,MO,Centerview,21.37
Bartoletti and Sons,personal_care,Health service manager,96,CA,June Lake,71.68
Bahringer-Larson,grocery_net,Health physicist,52,CA,Newhall,84.17
Medhurst Inc,home,Early years teacher,50,CA,Helm,78.22
"Langworth, Boehm and Gulgowski",shopping_net,Land/geomatics surveyor,38,MO,Arnold,7.33
Gerlach Inc,shopping_net,Insurance broker,41,NE,Sutherland,2.03
Medhurst Inc,home,Special educational needs teacher,45,WA,Orient,87.3
Wuckert-Goldne,home,"Therapist, art",35,NM,Moriarty,33.52
Macejkovic-Lesch,shopping_pos,"Administrator, education",84,AK,Wales,2.14
Mohr Inc,shopping_pos,Water engineer,48,CO,Littleton,273.64
Volkman PLC,food_dining,Historic buildings inspector/conservation officer,51,NM,Espanola,13.55
Ebert-Daugherty,travel,Health service manager,96,CA,June Lake,7.26
"Conroy, Balistreri and Gorczany",health_fitness,Magazine features editor,44,CA,Sacramento,15.83
Schiller Lt,personal_care,Water engineer,48,CO,Littleton,94.78
Sporer-Keeble,personal_care,Museum education officer,81,OR,Kent,67.4
Abshire PLC,entertainment,Armed forces training and education officer,64,CA,Port Costa,70.76
"Daugherty, Pouros and Beahan",shopping_pos,Research scientist (maths),95,NE,Howells,3.33
Dickinson Lt,misc_pos,Health service manager,96,CA,June Lake,9.02
Streich Lt,home,Investment analyst,49,MO,Redford,116.21
Stiedemann Inc,misc_pos,Health service manager,96,CA,June Lake,3.16
Koepp-Parke,grocery_pos,Research scientist (maths),95,NE,Howells,120.97
"Lang, Towne and Schuppe",kids_pets,Investment analyst,49,MO,Redford,31.58
Towne LLC,misc_pos,Contractor,42,AZ,Phoenix,248.98
"Quitzon, Green and Bashirian",shopping_pos,Wellsite geologist,67,CA,Claremont,1.48
Runolfsson and Sons,grocery_net,Firefighter,50,CA,Norwalk,38.31
Block Group,misc_pos,"Designer, exhibition/display",51,CA,Sun City,10.02
Schaefer Lt,kids_pets,Special educational needs teacher,45,WA,Orient,24.31
Heller PLC,health_fitness,Wellsite geologist,57,CA,Corona,9.25
Dooley Inc,shopping_pos,"Civil engineer, contracting",68,AZ,Humboldt,5.63
Hermann and Sons,shopping_pos,Clinical research associate,50,MO,Odessa,16.26
Kuphal-Predovic,misc_net,Cartographer,57,ID,Mesa,1.33
"Yost, Schamberger and Windle",kids_pets,Musician,41,WA,Burbank,27.08
Pfeffer and Sons,shopping_pos,Product designer,88,NE,Westerville,7.62
McDermott-Weimann,grocery_pos,Private music teacher,53,MO,Brashear,158.1
Zemlak Group,misc_net,Architectural technologist,62,NM,Llano,601.81
Smitham-Boehm,grocery_net,Health physicist,52,CA,Newhall,34.19
Cartwright-Harris,grocery_pos,Musician,41,WA,Burbank,216.12
"Connelly, Reichert and Fritsch",gas_transport,Special educational needs teacher,45,WA,Orient,64.05
"McCullough, Hudson and Schuste",food_dining,Contractor,42,AZ,Phoenix,48.74
Zulauf LLC,personal_care,Historic buildings inspector/conservation officer,51,NM,Espanola,9.71
Johns-Hoege,entertainment,"Surveyor, land/geomatics",35,NM,Red River,31.76
"Schroeder, Hauck and Treutel",entertainment,"Engineer, automotive",49,NE,Hooper,115.55
Hilpert-Conroy,kids_pets,Electronics engineer,34,MO,Centerview,2.61
"Kohler, Lindgren and Koelpin",grocery_net,Advertising account planner,41,CA,Glendale,31.31
Vandervort-Funk,grocery_pos,Network engineer,67,CO,Kirk,137.44
"Schaefer, Fay and Hilll",entertainment,Occupational hygienist,63,MO,Saint Louis,4.93
"Bernhard, Grant and Langworth",shopping_pos,"Sales professional, IT",33,UT,Altonah,2.65
Larkin Lt,kids_pets,"Surveyor, mining",50,NE,Fullerton,8.77
"Baumbach, Feeney and Mo",shopping_net,"Designer, exhibition/display",51,CA,Sun City,7.12
Greenholt Lt,health_fitness,"Designer, exhibition/display",51,CA,Sun City,12.44
McCullough LLC,misc_pos,Barista,49,CA,Oakland,4.22
Simonis-Prohask,misc_pos,Architect,70,MO,Mound City,9.69
Effertz LLC,entertainment,"Radiographer, diagnostic",61,MO,Syracuse,87.85
Block-Parisian,misc_net,Cartographer,57,ID,Mesa,1.89
O'Keefe-Hudson,grocery_pos,"Education officer, museum",56,WY,Freedom,124.2
Denesik and Sons,shopping_pos,Associate Professor,56,NE,Brainard,35.51
Upton PLC,entertainment,"Scientist, research (maths)",32,HI,Paauilo,10.43
Deckow-O'Conne,grocery_pos,"Therapist, horticultural",47,CA,Huntington Beach,203.28
Hoppe-Parisian,kids_pets,Electronics engineer,34,MO,Centerview,16.0
"Bins, Balistreri and Beatty",shopping_pos,Historic buildings inspector/conservation officer,51,NM,Espanola,7.29
"Bahringer, Schoen and Corkery",shopping_pos,Science writer,68,CA,San Jose,2.63
Wilkinson PLC,kids_pets,Airline pilot,38,CA,Napa,93.65
Abshire PLC,entertainment,Exercise physiologist,94,MO,Clarksville,6.37
Homenick LLC,personal_care,"Surveyor, minerals",36,UT,Thompson,3.07
"Hauck, Dietrich and Funk",kids_pets,"Engineer, production",30,MO,Independence,33.8
Dibbert-Green,entertainment,Osteopath,39,WA,Issaquah,49.03
Botsford PLC,home,Freight forwarder,47,WY,Fort Washakie,70.35
"Daugherty, Pouros and Beahan",shopping_pos,"Surveyor, land/geomatics",35,NM,Red River,4.93
Wuckert-Goldne,home,"Therapist, art",35,NM,Moriarty,49.31
McDermott-Rice,misc_pos,Land/geomatics surveyor,51,MO,Utica,64.68
Kling Inc,gas_transport,"Designer, exhibition/display",51,CA,Sun City,46.28
Stracke-Lemke,grocery_pos,"Pilot, airline",35,WY,Laramie,176.8
Terry-Huel,shopping_net,Economist,29,OR,Jordan Valley,120.13
Bauch-Blan,entertainment,"Scientist, physiological",59,OR,Eugene,9.86
Morissette PLC,shopping_pos,Magazine features editor,44,CA,Sacramento,7.1
"Feil, Hilpert and Koss",food_dining,Cartographer,57,ID,Mesa,34.03
"Hayes, Marquardt and Dibbert",misc_net,Freight forwarder,47,WY,Fort Washakie,99.31
Howe Lt,misc_pos,Health physicist,52,CA,Newhall,5.1
Gottlieb Group,kids_pets,"Research officer, political party",39,WA,Conway,14.96
Turcotte-Halvorson,misc_pos,Civil Service fast streamer,40,CA,Azusa,34.7
"Osinski, Ledner and Leuschke",grocery_pos,Systems analyst,57,OR,Lowell,362.56
"Douglas, Schneider and Turne",shopping_pos,"Pilot, airline",35,WY,Laramie,9.3
Quitzon-Goyette,home,Contractor,42,AZ,Phoenix,12.63
"Pouros, Walker and Spence",kids_pets,Educational psychologist,42,WY,Manville,100.58
Hyatt-Blick,travel,Investment analyst,49,MO,Redford,6.78
Homenick LLC,personal_care,Product designer,88,NE,Westerville,46.04
Jacobi Inc,health_fitness,Learning mentor,68,CA,Indian Wells,82.85
Murray-Smitham,grocery_pos,"Buyer, industrial",32,CA,Daly City,184.52
"Haley, Batz and Aue",health_fitness,"Surveyor, land/geomatics",35,NM,Red River,1.07
"Schumm, McLaughlin and Carte",food_dining,Musician,41,WA,Burbank,38.32
Buckridge PLC,misc_pos,Barrister,87,OR,Cascade Locks,490.25
Huel Lt,misc_net,Freight forwarder,47,WY,Fort Washakie,97.99
Rutherford-Mertz,grocery_pos,Nature conservation officer,61,ID,Malad City,72.46
"Schumm, Bauch and Ondrick",grocery_pos,Public relations account executive,84,CO,Meredith,126.23
Koelpin and Sons,misc_net,Product designer,88,NE,Westerville,3.07
"Schaefer, McGlynn and Bosco",gas_transport,Educational psychologist,42,WY,Manville,40.78
Kuhn Group,food_dining,"Civil engineer, contracting",68,AZ,Humboldt,53.23
Hilpert-Conroy,kids_pets,Systems analyst,77,CA,Grenada,15.52
"Weber, Thiel and Hammes",kids_pets,Tax inspector,35,MO,Rocky Mount,98.22
Johns-Hoege,entertainment,Private music teacher,53,MO,Brashear,15.96
Schmitt Lt,misc_net,Education administrator,57,CA,Vinton,4.01
"Turner, Ruecker and Parisian",misc_pos,Airline pilot,38,CA,Napa,260.09
Schimmel-Olson,kids_pets,Barrister,87,OR,Cascade Locks,17.46
Luettgen PLC,gas_transport,Educational psychologist,42,WY,Manville,62.63
Douglas-White,entertainment,Osteopath,39,WA,Issaquah,102.25
Breitenberg-Hermiston,kids_pets,Naval architect,56,NM,High Rolls Mountain Park,41.94
"Gutmann, McLaughlin and Wiz",home,Health physicist,52,CA,Newhall,67.21
Kilback LLC,grocery_pos,Network engineer,67,CO,Kirk,153.9
Gaylord-Powlowski,home,Economist,29,OR,Jordan Valley,68.6
"Ledner, Hartmann and Feest",health_fitness,Tax inspector,35,MO,Rocky Mount,205.99
Lynch Lt,shopping_pos,"Therapist, art",35,NM,Moriarty,59.12
Stamm-Witting,shopping_net,Museum/gallery exhibitions officer,31,CO,Colorado Springs,9.51
Conroy Lt,shopping_pos,Learning mentor,68,CA,Indian Wells,1.1
Kunde-Sanfo,misc_net,"Nurse, children's",43,NE,North Loup,18.37
Huel-Langworth,misc_net,Licensed conveyancer,23,NM,Ruidoso,8.35
Gutmann Lt,grocery_net,"Pilot, airline",35,WY,Laramie,31.08
Rau-Grant,kids_pets,Agricultural consultant,73,MO,Blairstown,1.53
"Hettinger, McCullough and Fay",home,Osteopath,39,WA,Issaquah,100.0
Connelly-Carte,home,Call centre manager,65,CA,Greenview,60.58
Wuckert-Goldne,home,Call centre manager,65,CA,Greenview,8.58
Dare-Marvin,entertainment,"Therapist, art",35,NM,Moriarty,33.78
Doyle Lt,grocery_pos,Hotel manager,36,CO,Arvada,60.26
Miller-Harris,misc_net,Health physicist,52,CA,Newhall,2.57
"Little, Gutmann and Lynch",shopping_net,Freight forwarder,47,WY,Fort Washakie,93.49
Kuvalis Lt,gas_transport,Network engineer,67,CO,Kirk,67.86
Rau-Robel,kids_pets,Science writer,68,CA,San Jose,58.87
Kozey-Kuhlman,personal_care,"Lecturer, higher education",30,WY,Riverton,118.78
"Denesik, Powlowski and Pouros",home,Sales executive,53,CA,Laguna Hills,66.48
"Swaniawski, Lowe and Robel",shopping_pos,"Education officer, museum",56,WY,Freedom,123.28
Bahringer-Streich,food_dining,Wellsite geologist,57,CA,Corona,29.8
Volkman-Predovic,shopping_net,"Lecturer, higher education",30,WY,Riverton,25.35
"Olson, Becker and Koch",gas_transport,"Scientist, marine",53,CO,Aurora,86.62
Flatley-Durgan,misc_net,Chief Marketing Officer,80,WA,Colton,1.93
Nader-Helle,misc_net,Chartered legal executive (England and Wales),56,CA,Blairsden-Graeagle,39.37
Kemmer-Reinge,grocery_net,Contractor,42,AZ,Phoenix,64.89
"Armstrong, Walter and Gottlieb",food_dining,Learning mentor,68,CA,Indian Wells,82.45
"Bahringer, Schoen and Corkery",shopping_pos,Museum education officer,81,OR,Kent,43.67
Jakubowski Inc,home,"Research officer, political party",39,WA,Conway,73.2
Kuhic LLC,shopping_net,Nature conservation officer,91,CA,Buellton,1084.6
Nader-Helle,misc_net,Research scientist (maths),95,NE,Howells,3.82
"Bahringer, Schoen and Corkery",shopping_pos,Advertising account planner,41,CA,Glendale,95.7
"Schaefer, Maggio and Daugherty",gas_transport,Public librarian,49,WY,Jelm,55.41
"Watsica, Haag and Considine",shopping_pos,Public librarian,49,WY,Jelm,1.51
Ebert-Daugherty,travel,Chemical engineer,60,CA,Palmdale,7.82
"Goyette, Howell and Collie",shopping_pos,"Editor, magazine features",28,CA,Hawthorne,9.77
Volkman Lt,misc_net,Musician,41,WA,Burbank,102.21
Weber and Sons,food_dining,"Designer, exhibition/display",51,CA,Sun City,12.78
Larson-Moen,entertainment,"Scientist, audiological",60,UT,Mendon,72.77
Spinka-Welch,grocery_net,"Administrator, education",84,AK,Wales,67.04
Cummerata-Jones,gas_transport,"Engineer, communications",22,MO,Ballwin,60.5
"Schumm, Bauch and Ondrick",grocery_pos,Freight forwarder,47,WY,Fort Washakie,109.96
Simonis-Prohask,misc_pos,Local government officer,69,OR,Powell Butte,7.98
Schuppe LLC,entertainment,Counselling psychologist,23,AZ,Phoenix,32.99
"Lesch, D'Amore and Brown",food_dining,Marketing executive,31,CA,Parker Dam,60.04
Kuhn Group,food_dining,Special educational needs teacher,45,WA,Orient,4.18
Eichmann-Kilback,home,"Research officer, political party",39,WA,Conway,98.25
Barrows PLC,shopping_pos,"Engineer, automotive",49,NE,Hooper,8.57
Goyette-Gerhol,kids_pets,Chief Marketing Officer,80,WA,Colton,54.52
Barton Inc,grocery_pos,Learning mentor,68,CA,Indian Wells,76.24
Douglas-White,entertainment,Petroleum engineer,36,AZ,Superior,80.51
"Cormier, Stracke and Thiel",entertainment,Planning and development surveyor,41,OR,Lake Oswego,54.44
"Langworth, Boehm and Gulgowski",shopping_net,Community arts worker,54,CO,Iliff,30.79
Bahringer-Streich,food_dining,Video editor,67,WA,Ashford,27.95
Sawayn PLC,shopping_pos,Naval architect,25,MO,Owensville,8.68
Kihn-Schuste,food_dining,Podiatrist,51,CA,Lakeport,164.63
Gibson-Deckow,entertainment,"Therapist, art",35,NM,Moriarty,274.69
"Swaniawski, Bahringer and Ledne",grocery_net,Contractor,42,AZ,Phoenix,63.19
Veum-Koelpin,travel,Investment analyst,49,MO,Redford,4.81
"O'Connell, Botsford and Han",home,Associate Professor,56,NE,Brainard,178.38
"Romaguera, Wehner and Tromp",kids_pets,"Editor, magazine features",28,CA,Hawthorne,33.95
Kilback Group,food_dining,Land/geomatics surveyor,51,MO,Utica,6.5
"Okuneva, Schneider and R",shopping_pos,Cartographer,57,ID,Mesa,9.79
"Streich, Hansen and Veum",gas_transport,Electronics engineer,34,MO,Centerview,63.18
"Bernhard, Grant and Langworth",shopping_pos,Web designer,40,CA,Smith River,8.04
"Stehr, Jewess and Schimmel",misc_net,Music therapist,39,WY,Rock Springs,8.83
Doyle Lt,grocery_pos,Systems analyst,77,CA,Grenada,118.35
"Mante, Luettgen and Hackett",health_fitness,"Therapist, art",35,NM,Moriarty,24.99
Funk Group,grocery_net,Advertising account planner,41,CA,Glendale,47.4
Tromp Group,travel,"Scientist, research (maths)",32,HI,Paauilo,2.11
"Schumm, Bauch and Ondrick",grocery_pos,Public relations account executive,84,CO,Meredith,128.4
"Schumm, Bauch and Ondrick",grocery_pos,Insurance broker,41,NE,Sutherland,117.49
Gleason-Macejkovic,shopping_net,Freight forwarder,47,WY,Fort Washakie,99.91
Stamm-Witting,shopping_net,"Administrator, local government",50,WY,Alva,89.76
Reynolds-Schinne,misc_pos,"Engineer, production",30,MO,Independence,76.93
Carroll PLC,health_fitness,"Sales professional, IT",33,UT,Altonah,29.73
Gibson-Deckow,entertainment,Planning and development surveyor,41,OR,Lake Oswego,107.29
Smitham-Schille,grocery_net,Historic buildings inspector/conservation officer,51,NM,Espanola,49.76
"Lang, Towne and Schuppe",kids_pets,"Surveyor, mining",50,NE,Fullerton,31.4
Kling Inc,gas_transport,"Engineer, maintenance",67,OR,Gardiner,60.47
Runolfsson and Sons,grocery_net,Special educational needs teacher,45,WA,Orient,64.18
Klocko LLC,misc_net,Systems analyst,57,OR,Lowell,4.79
Bins-Howell,personal_care,Contractor,42,AZ,Phoenix,39.44
Rippin-VonRueden,health_fitness,Musician,41,WA,Burbank,3.05
Eichmann-Kilback,home,Tourist information centre manager,48,MO,Meadville,79.53
Bartoletti-Wunsch,gas_transport,"Geologist, engineering",66,AZ,Parks,79.69
"Baumbach, Strosin and Nicolas",shopping_pos,Intelligence analyst,52,ID,Meridian,2.11
"Nitzsche, Kessler and Wol",shopping_pos,"Civil engineer, contracting",62,CA,Santa Monica,9.29
"Bahringer, Bergnaum and Quitzon",home,Dealer,47,OR,Athena,87.02
Stoltenberg-Beatty,shopping_pos,Information systems manager,37,WY,Fort Washakie,5.84
"Lehner, Mosciski and King",misc_net,"Administrator, education",84,AK,Wales,18.33
Lemke-Gutmann,shopping_net,"Engineer, petroleum",86,OR,Scotts Mills,2.65
Dach-Nade,misc_net,Location manager,33,UT,Moab,9.5
"Kihn, Abernathy and Douglas",shopping_net,"Scientist, audiological",94,CA,Fields Landing,5.39
"Kerluke, Kertzmann and Wiz",misc_net,Town planner,57,MO,Luray,8.09
Botsford PLC,home,Systems analyst,77,CA,Grenada,30.63
Hoppe-Parisian,kids_pets,Contractor,42,AZ,Phoenix,62.79
Nader-Maggio,personal_care,Planning and development surveyor,41,OR,Lake Oswego,40.76
Pagac LLC,shopping_pos,Firefighter,50,CA,Norwalk,717.29
"Klocko, Runolfsdottir and Breitenberg",health_fitness,Museum education officer,81,OR,Kent,97.52
Bednar PLC,kids_pets,Immigration officer,36,CA,Fiddletown,47.4
"Reilly, Heaney and Cole",gas_transport,Research scientist (physical sciences),46,OR,Newberg,66.63
"Parker, Nolan and Trantow",entertainment,Special educational needs teacher,45,WA,Orient,213.59
Wilkinson PLC,kids_pets,"Surveyor, land/geomatics",45,NM,Kirtland Afb,31.95
Deckow-O'Conne,grocery_pos,Information systems manager,37,WY,Fort Washakie,116.66
Bernier and Sons,kids_pets,"Editor, magazine features",28,CA,Hawthorne,6.34
Fahey Inc,kids_pets,"Nurse, children's",43,NE,North Loup,77.79
Hickle Group,shopping_pos,"Sales professional, IT",33,UT,Altonah,2.91
"Weimann, Kuhic and Beahan",shopping_pos,"Therapist, art",35,NM,Moriarty,7.75
Wolf Inc,grocery_pos,Cytogeneticist,69,MO,Browning,112.32
Padberg-Saue,home,Systems analyst,57,OR,Lowell,37.82
Cummerata-Hilpert,entertainment,Occupational psychologist,69,CA,Tomales,221.55
Goldner-Lemke,entertainment,Airline pilot,38,CA,Napa,184.74
Kutch-Wilderman,home,"Solicitor, Scotland",49,NE,Ravenna,75.89
"Schneider, Hayes and Nikolaus",food_dining,Product designer,88,NE,Westerville,18.24
Rutherford-Mertz,grocery_pos,"Surveyor, land/geomatics",35,NM,Red River,108.2
"Windler, Goodwin and Kovacek",home,Special educational needs teacher,45,WA,Orient,42.62
Schumm PLC,health_fitness,"Geologist, engineering",66,AZ,Parks,108.21
Frami Group,entertainment,Dealer,47,OR,Athena,68.73
"Torp, Muller and Bore",health_fitness,Planning and development surveyor,41,OR,Lake Oswego,17.29
"Quitzon, Green and Bashirian",shopping_pos,Nature conservation officer,61,ID,Malad City,6.61
Kihn Inc,shopping_pos,Airline pilot,38,CA,Napa,3.0
"Streich, Hansen and Veum",gas_transport,"Engineer, building services",60,OR,Portland,70.33
Dickinson Lt,personal_care,Public relations account executive,84,CO,Meredith,77.03
Kulas Group,health_fitness,Freight forwarder,47,WY,Fort Washakie,74.14
Koepp-Parke,grocery_pos,Community arts worker,54,CO,Iliff,142.88
Cartwright-Harris,grocery_pos,IT consultant,34,NM,Crownpoint,63.58
Zulauf LLC,personal_care,Geoscientist,26,CA,San Jose,12.31
"Langosh, Wintheiser and Hyatt",food_dining,"Pilot, airline",35,WY,Laramie,57.3
"Moen, Reinger and Murphy",grocery_pos,Magazine features editor,44,CA,Sacramento,61.83
White and Sons,home,"Research officer, political party",39,WA,Conway,15.31
Bashirian Group,shopping_net,Counsellor,35,MO,Kansas City,2.46
Stiedemann Lt,food_dining,Planning and development surveyor,41,OR,Lake Oswego,52.77
McKenzie-Huels,food_dining,Historic buildings inspector/conservation officer,51,NM,Espanola,6.22
Howe PLC,entertainment,Armed forces training and education officer,64,CA,Port Costa,39.26
"Romaguera, Wehner and Tromp",kids_pets,Osteopath,39,WA,Issaquah,74.03
"Lakin, Ferry and Beatty",food_dining,"Engineer, biomedical",55,OR,Stayton,58.32
Wolf Inc,grocery_pos,Cartographer,57,ID,Mesa,137.18
Altenwerth-Kilback,home,Production manager,38,MO,Wheaton,4.18
Sporer Inc,gas_transport,Educational psychologist,71,NM,Loving,70.36
"Ruecker, Beer and Collie",shopping_net,Contractor,42,AZ,Phoenix,1.04
Bashirian Group,shopping_net,"Administrator, local government",50,WY,Alva,110.05
Bradtke PLC,grocery_pos,Production manager,38,MO,Wheaton,111.83
"Schmeler, Bashirian and Price",shopping_net,Clinical research associate,50,MO,Odessa,84.53
Mayert Group,shopping_pos,Tax inspector,35,MO,Rocky Mount,3.03
Bartoletti-Wunsch,gas_transport,Mental health nurse,45,CO,Dumont,75.4
Sporer-Keeble,personal_care,Barrister,87,OR,Cascade Locks,43.56
"Douglas, DuBuque and McKenzie",travel,Historic buildings inspector/conservation officer,51,NM,Espanola,1.59
"Wuckert, Wintheiser and Friesen",home,Advertising account planner,41,CA,Glendale,65.04
"Graham, Hegmann and Hammes",food_dining,Occupational hygienist,63,MO,Saint Louis,74.53
Cummerata-Jones,gas_transport,Counselling psychologist,23,AZ,Phoenix,56.59
Bruen-Yost,misc_pos,Advertising account planner,41,CA,Glendale,2.09
"Zemlak, Tillman and Cremin",personal_care,Learning mentor,68,CA,Indian Wells,45.79
Fadel-Hilpert,health_fitness,"Education officer, museum",56,WY,Freedom,6.87
"Bahringer, Bergnaum and Quitzon",home,Dealer,47,OR,Athena,83.52
Zemlak Group,misc_net,"Editor, magazine features",28,CA,Hawthorne,8.06
Lesch Lt,shopping_pos,Podiatrist,51,CA,Lakeport,6.58
"Greenholt, O'Hara and Balistreri",shopping_net,Physiotherapist,56,HI,Honokaa,7.17
Durgan-Aue,misc_net,Contractor,42,AZ,Phoenix,50.49
Schmeler-Howe,personal_care,"Research officer, political party",39,WA,Conway,42.35
Boyer PLC,shopping_net,Airline pilot,38,CA,Napa,9.11
Leffler-Goldne,personal_care,Associate Professor,56,NE,Brainard,80.51
Thiel Lt,travel,Network engineer,78,NE,Valentine,4.33
"Romaguera, Wehner and Tromp",kids_pets,Petroleum engineer,36,AZ,Superior,36.69
Schoen-Quigley,kids_pets,Historic buildings inspector/conservation officer,51,NM,Espanola,50.75
Dickinson-Rempel,misc_pos,"Research officer, political party",39,WA,Conway,8.77
"Langworth, Boehm and Gulgowski",shopping_net,"Engineer, communications",22,MO,Ballwin,8.92
Runte-Moh,food_dining,Nature conservation officer,61,ID,Malad City,46.37
Bauch-Blan,entertainment,Museum education officer,81,OR,Kent,60.36
"Bahringer, Bergnaum and Quitzon",home,Education administrator,57,CA,Vinton,23.34
Brown Inc,kids_pets,Intelligence analyst,52,ID,Meridian,178.85
Haley Group,misc_pos,Podiatrist,51,CA,Lakeport,183.32
Huels-Nolan,gas_transport,Advertising account planner,41,CA,Glendale,69.6
Daugherty-Thompson,food_dining,"Journalist, newspaper",64,CA,Los Angeles,67.39
"Champlin, Rolfson and Connelly",travel,"Engineer, petroleum",86,OR,Scotts Mills,181.67
"Hills, Hegmann and Schaefe",health_fitness,Education administrator,57,CA,Vinton,27.48
Cartwright-Harris,grocery_pos,Cytogeneticist,69,MO,Browning,149.9
Morissette PLC,shopping_pos,Tourist information centre manager,48,MO,Meadville,136.69
Hoppe-Parisian,kids_pets,Early years teacher,50,CA,Helm,50.3
Bins-Rice,gas_transport,"Surveyor, mining",50,NE,Fullerton,73.18
"Turner, Ziemann and Lehne",food_dining,"Therapist, music",35,CA,Mountain Center,6.37
Dibbert and Sons,entertainment,Research scientist (physical sciences),42,WY,Lonetree,76.99
Harris Inc,gas_transport,Petroleum engineer,36,AZ,Superior,46.53
Sporer Inc,gas_transport,"Research officer, political party",39,WA,Conway,54.77
"Weimann, Kuhic and Beahan",shopping_pos,Charity officer,56,NM,Albuquerque,8.94
Romaguera Lt,health_fitness,Public relations account executive,84,CO,Meredith,31.53
"Mosciski, Gislason and Mertz",grocery_pos,"Surveyor, minerals",83,NE,Campbell,113.47
"Douglas, Schneider and Turne",shopping_pos,Special educational needs teacher,45,WA,Orient,7.56
Koepp-Witting,grocery_pos,Osteopath,39,WA,Issaquah,163.05
White and Sons,home,"Administrator, education",84,AK,Wales,34.63
Huels-Hahn,gas_transport,Human resources officer,56,NE,Manley,89.16
Flatley-Durgan,misc_net,Web designer,40,CA,Smith River,6.34
"Ferry, Reichel and DuBuque",grocery_net,Petroleum engineer,36,AZ,Superior,58.76
Ernser-Lynch,food_dining,Music therapist,39,WY,Rock Springs,77.22
"Pouros, Walker and Spence",kids_pets,Tax inspector,35,MO,Rocky Mount,5.32
Price Inc,shopping_net,"Surveyor, mining",50,NE,Fullerton,54.7
Heller PLC,health_fitness,"Engineer, civil (consulting)",57,AK,Huslia,10.3
Luettgen PLC,gas_transport,Public relations account executive,84,CO,Meredith,53.88
Thiel-Thiel,entertainment,"Therapist, occupational",72,CA,Carlotta,28.28
"Zieme, Bode and Dooley",gas_transport,Occupational psychologist,69,CA,Tomales,41.88
Pacocha-O'Reilly,grocery_pos,Petroleum engineer,36,AZ,Superior,233.83
"Goldner, Kovacek and Abbott",grocery_pos,Barrister,87,OR,Cascade Locks,140.69
"Konopelski, Schneider and Hartmann",food_dining,Systems analyst,77,CA,Grenada,19.98
Bernhard-Lesch,food_dining,Mental health nurse,45,CO,Dumont,69.32
"Hayes, Marquardt and Dibbert",misc_net,"Research officer, political party",39,WA,Conway,480.04
Lind-Buckridge,entertainment,Civil Service administrator,47,NM,Albuquerque,168.2
Stark-Koss,home,Intelligence analyst,52,ID,Meridian,65.91
Kuhn Group,food_dining,"Editor, magazine features",28,CA,Hawthorne,6.37
McDermott-Rice,misc_pos,Investment analyst,49,MO,Redford,5.64
Barton LLC,kids_pets,"Pilot, airline",35,WY,Laramie,18.74
Kuhn Group,food_dining,"Administrator, local government",50,WY,Alva,60.32
"Becker, Harris and Harvey",personal_care,Advertising account planner,41,CA,Glendale,18.58
Schmeler-Howe,personal_care,Planning and development surveyor,41,OR,Lake Oswego,18.72
Schaefer Lt,kids_pets,"Designer, exhibition/display",51,CA,Sun City,9.37
Flatley-Durgan,misc_net,Airline pilot,38,CA,Napa,112.68
Klocko LLC,misc_net,Location manager,33,UT,Moab,26.49
"Mosciski, Ziemann and Farrell",shopping_net,Public house manager,49,WA,Burlington,61.87
Fritsch and Sons,health_fitness,"Editor, magazine features",28,CA,Hawthorne,118.99
